   "MANDT";"WERKS";"LGORT";"LIFNR";"PARCERIA";"EBELN"
   "400";"0837";"F1XO";"0010145895";"";"4600323889"
   "400";"0837";"F1Z6";"0010113776";"";"4600323889"
   "400";"0837";"F1Z8";"0010025068";"";"4600323889"
   "400";"0839";"F01I";"0010150101";"";"4600579617"
   "400";"0839";"F01J";"0010212991";"";"4600579617"
   "400";"0839";"F1EI";"0010187626";"";"4600473172"
   "400";"0839";"F2AS";"0010175514";"";"4600473172"
   "400";"0839";"F2AT";"0010175514";"";"4600463183"
   "400";"0839";"F2AU";"0010187626";"";"4600463183"
   "400";"0839";"FOSS";"0010001140";"";"4600658580"
   "400";"0839";"FV78";"0010067168";"";"4600583840"
   "400";"0839";"FZZ5";"0010153455";"";"4600615423"
   "400";"0841";"F02E";"0010222705";"";"4600559387"
   "400";"0841";"F17J";"0010016012";"";"4600536279"
   "400";"0841";"F1EW";"0010188857";"";"4600568832"
   "400";"0841";"F1MA";"0010158125";"";"4600584211"
   "400";"0841";"F1MM";"0010197838";"P";"4600561685"
   "400";"0841";"F1MV";"0010026003";"";"4600616614"
   "400";"0841";"F1MZ";"0010157326";"";"4600611244"
   "400";"0841";"F1WJ";"0010222707";"";"4600559387"
   "400";"0841";"F1X3";"0010026003";"";"4600580871"
   "400";"0841";"F1X4";"0010188857";"";"4600421771"
   "400";"0841";"F2WJ";"0010222708";"";"4600559387"
   "400";"0841";"F357";"0010016012";"";"4600536278"
   "400";"0841";"FA2J";"0010109211";"";"4600569049"
   "400";"0841";"FCDO";"0010016012";"";"4600589226"
   "400";"0841";"FGEM";"0010014003";"";"4600537878"
   "400";"0841";"FVAR";"0010222705";"";"4600559387"
   "400";"0841";"FVSB";"0010204982";"";"4600559387"
   "400";"0841";"FVX4";"0010197838";"";"4600559389"
   "400";"0841";"FVXC";"0010016012";"";"4600579627"
   "400";"0841";"FVXG";"0010016012";"";"4600627039"
   "400";"0841";"FVZ1";"0010188857";"";"4600568823"
   "400";"0841";"FVZ2";"0010222708";"";"4600559387"
   "400";"0841";"FVZ4";"0010158125";"";"4600583802"
   "400";"0841";"FVZM";"0010016012";"";"4600580836"
   "400";"0841";"FVZV";"0010215112";"";"4600559389"
   "400";"0841";"FVZW";"0010188857";"";"4600581921"
   "400";"0841";"FZV7";"0010026003";"";"4600611245"
   "400";"0841";"FZX1";"0010109211";"";"4600586130"
   "400";"0841";"FZXC";"0010214874";"";"4600580921"
   "400";"0842";"F02E";"0010222705";"";"4600559387"
   "400";"0842";"F17J";"0010016012";"";"4600536279"
   "400";"0842";"F1EW";"0010188857";"";"4600568832"
   "400";"0842";"F1MA";"0010158125";"";"4600584211"
   "400";"0842";"F1MM";"0010197838";"P";"4600561685"
   "400";"0842";"F1MV";"0010026003";"";"4600616614"
   "400";"0842";"F1MZ";"0010157326";"";"4600611244"
   "400";"0842";"F1WJ";"0010222707";"";"4600559387"
   "400";"0842";"F1X3";"0010026003";"";"4600580871"
   "400";"0842";"F1X4";"0010188857";"";"4600421771"
   "400";"0842";"F2WJ";"0010222708";"";"4600559387"
   "400";"0842";"F357";"0010016012";"";"4600536278"
   "400";"0842";"FA2J";"0010109211";"";"4600569049"
   "400";"0842";"FCDO";"0010016012";"";"4600589226"
   "400";"0842";"FGEM";"0010014003";"";"4600537878"
   "400";"0842";"FVAR";"0010222705";"";"4600559387"
   "400";"0842";"FVSB";"0010204984";"";"4600559387"
   "400";"0842";"FVX4";"0010197838";"";"4600559389"
   "400";"0842";"FVXC";"0010016012";"";"4600579627"
   "400";"0842";"FVXG";"0010016012";"";"4600627039"
   "400";"0842";"FVZ1";"0010188857";"";"4600568823"
   "400";"0842";"FVZ2";"0010222708";"";"4600559387"
   "400";"0842";"FVZ4";"0010158125";"";"4600583802"
   "400";"0842";"FVZM";"0010016012";"";"4600580836"
   "400";"0842";"FVZV";"0010215112";"";"4600559389"
   "400";"0842";"FVZW";"0010188857";"";"4600581921"
   "400";"0842";"FZV7";"0010026003";"";"4600611245"
   "400";"0842";"FZX1";"0010109211";"";"4600586130"
   "400";"0842";"FZXC";"0010214874";"";"4600580921"
   "400";"0843";"F02E";"0010222705";"";"4600559387"
   "400";"0843";"F17J";"0010016012";"";"4600536279"
   "400";"0843";"F1EW";"0010188857";"";"4600568832"
   "400";"0843";"F1MA";"0010158125";"";"4600584211"
   "400";"0843";"F1MM";"0010197838";"P";"4600561685"
   "400";"0843";"F1MV";"0010026003";"";"4600616614"
   "400";"0843";"F1MZ";"0010157326";"";"4600611244"
   "400";"0843";"F1WJ";"0010222707";"";"4600559387"
   "400";"0843";"F1X3";"0010026003";"";"4600580871"
   "400";"0843";"F1X4";"0010188857";"";"4600421771"
   "400";"0843";"F2WJ";"0010222708";"";"4600559387"
   "400";"0843";"F357";"0010016012";"";"4600536278"
   "400";"0843";"FA2J";"0010109211";"";"4600569049"
   "400";"0843";"FCDO";"0010016012";"";"4600589226"
   "400";"0843";"FGEM";"0010014003";"";"4600537878"
   "400";"0843";"FVAR";"0010222705";"";"4600559387"
   "400";"0843";"FVSB";"0010204985";"";"4600559387"
   "400";"0843";"FVX4";"0010197838";"";"4600559389"
   "400";"0843";"FVXC";"0010016012";"";"4600579627"
   "400";"0843";"FVXG";"0010016012";"";"4600627039"
   "400";"0843";"FVZ1";"0010188857";"";"4600568823"
   "400";"0843";"FVZ2";"0010222708";"";"4600559387"
   "400";"0843";"FVZ4";"0010158125";"";"4600583802"
   "400";"0843";"FVZM";"0010016012";"";"4600580836"
   "400";"0843";"FVZV";"0010215112";"";"4600559389"
   "400";"0843";"FVZW";"0010188857";"";"4600581921"
   "400";"0843";"FZV7";"0010026003";"";"4600611245"
   "400";"0843";"FZX1";"0010109211";"";"4600586130"
   "400";"0843";"FZXC";"0010214874";"";"4600580921"
   "400";"0844";"F02E";"0010222705";"";"4600559387"
   "400";"0844";"F17J";"0010016012";"";"4600536279"
   "400";"0844";"F1EW";"0010188857";"";"4600568832"
   "400";"0844";"F1MA";"0010158125";"";"4600584211"
   "400";"0844";"F1MM";"0010197838";"P";"4600561685"
   "400";"0844";"F1MV";"0010026003";"";"4600616614"
   "400";"0844";"F1MZ";"0010157326";"";"4600611244"
   "400";"0844";"F1WJ";"0010222707";"";"4600559387"
   "400";"0844";"F1X3";"0010026003";"";"4600580871"
   "400";"0844";"F1X4";"0010188857";"";"4600421771"
   "400";"0844";"F2WJ";"0010222708";"";"4600559387"
   "400";"0844";"F357";"0010016012";"";"4600536278"
